F, epochs, epsilon, B, weightcost, momentum, trRSME, vlRSME
4, 42, 0.01, 10, 0.0005, 0.5, 1.01045376844, 1.25211848881
4, 43, 0.01, 10, 0.0005, 0.5, 1.01096647022, 1.24467016202
4, 44, 0.01, 10, 0.0005, 0.5, 1.00838101335, 1.25508388793
4, 45, 0.01, 10, 0.0005, 0.5, 1.00848527969, 1.24630011906
4, 46, 0.01, 10, 0.0005, 0.5, 1.00919169368, 1.24882639333
4, 47, 0.01, 10, 0.0005, 0.5, 1.00538986655, 1.25358965605
4, 48, 0.01, 10, 0.0005, 0.5, 1.01043863473, 1.24386232383
4, 49, 0.01, 10, 0.0005, 0.5, 1.00614392686, 1.24620409676
4, 1, 0.01, 10, 0.001, 0.3, 1.17529832107, 1.21740058821
4, 2, 0.01, 10, 0.001, 0.3, 1.14040047955, 1.19084458488
4, 3, 0.01, 10, 0.001, 0.3, 1.09770036516, 1.16323857987
4, 4, 0.01, 10, 0.001, 0.3, 1.07044360241, 1.15053835761
4, 5, 0.01, 10, 0.001, 0.3, 1.06004771889, 1.14688307922
4, 6, 0.01, 10, 0.001, 0.3, 1.05065362251, 1.1510991599
4, 7, 0.01, 10, 0.001, 0.3, 1.04150225957, 1.14614983003
4, 8, 0.01, 10, 0.001, 0.3, 1.0409160203, 1.15979051296
4, 9, 0.01, 10, 0.001, 0.3, 1.04097111082, 1.16740294545
4, 10, 0.01, 10, 0.001, 0.3, 1.0404390266, 1.17992087987
4, 11, 0.01, 10, 0.001, 0.3, 1.03493889775, 1.17720154633
4, 12, 0.01, 10, 0.001, 0.3, 1.02823172141, 1.16928289105
4, 13, 0.01, 10, 0.001, 0.3, 1.03016495298, 1.15653574854
4, 14, 0.01, 10, 0.001, 0.3, 1.02700397119, 1.16141352969
4, 15, 0.01, 10, 0.001, 0.3, 1.03216101705, 1.16330947615
4, 16, 0.01, 10, 0.001, 0.3, 1.0301364794, 1.16482321732
4, 17, 0.01, 10, 0.001, 0.3, 1.02233547747, 1.15727000774
4, 18, 0.01, 10, 0.001, 0.3, 1.0187342566, 1.1634510568
4, 19, 0.01, 10, 0.001, 0.3, 1.01725604748, 1.1618537477
4, 20, 0.01, 10, 0.001, 0.3, 1.00762560312, 1.16919022874
4, 21, 0.01, 10, 0.001, 0.3, 1.003657805, 1.17440974401
4, 22, 0.01, 10, 0.001, 0.3, 0.992980422828, 1.16859747701
4, 23, 0.01, 10, 0.001, 0.3, 0.996830478477, 1.17594051398
4, 24, 0.01, 10, 0.001, 0.3, 0.9926767669, 1.19099693561
4, 25, 0.01, 10, 0.001, 0.3, 0.984879652012, 1.18740909155
4, 26, 0.01, 10, 0.001, 0.3, 0.984410658454, 1.18984283706
4, 27, 0.01, 10, 0.001, 0.3, 0.980812046897, 1.20624131431
4, 28, 0.01, 10, 0.001, 0.3, 0.978131874229, 1.20890357202
4, 29, 0.01, 10, 0.001, 0.3, 0.980912506049, 1.20817352782
4, 30, 0.01, 10, 0.001, 0.3, 0.978202776629, 1.22311282141
4, 31, 0.01, 10, 0.001, 0.3, 0.977230706003, 1.21424085142
4, 32, 0.01, 10, 0.001, 0.3, 0.971620956354, 1.22172957912
4, 33, 0.01, 10, 0.001, 0.3, 0.96934198618, 1.2355237542
4, 34, 0.01, 10, 0.001, 0.3, 0.96204729437, 1.22926699626
4, 35, 0.01, 10, 0.001, 0.3, 0.95703259321, 1.23438323692
